season,player_id,team_id,path,line,text
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,6281,"{""exact_date"": ""2017-01-21"", ""season"": ""2016-17"", ""event_type"": ""depart"", ""player_id"": ""2590"", ""player_name"": ""Mo Williams"", ""source_player_ref"": ""mo-williams"", ""source_team_id"": 1610612755, ""destination_team_id"": null, ""source_team_name"": null, ""destination_team_name"": null, ""source_system"": ""Official NBA Player Movement feed"", ""source_reference"": ""https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json#row-8490"", ""identity_resolution"": ""official_nba_player_id"", ""team_resolution"": ""official_team_id"", ""raw_text"": ""Philadelphia 76ers waived guard Mo Williams."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,6284,"{""exact_date"": ""2017-01-23"", ""season"": ""2016-17"", ""event_type"": ""claim"", ""player_id"": ""2590"", ""player_name"": ""Mo Williams"", ""source_player_ref"": ""mo-williams"", ""source_team_id"": null, ""destination_team_id"": 1610612743, ""source_team_name"": null, ""destination_team_name"": null, ""source_system"": ""Official NBA Player Movement feed"", ""source_reference"": ""https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json#row-8487"", ""identity_resolution"": ""official_nba_player_id"", ""team_resolution"": ""official_team_id"", ""raw_text"": ""Denver Nuggets claimed guard Mo Williams off waivers."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,6286,"{""exact_date"": ""2017-01-24"", ""season"": ""2016-17"", ""event_type"": ""depart"", ""player_id"": ""2590"", ""player_name"": ""Mo Williams"", ""source_player_ref"": ""mo-williams"", ""source_team_id"": 1610612743, ""destination_team_id"": null, ""source_team_name"": null, ""destination_team_name"": null, ""source_system"": ""Official NBA Player Movement feed"", ""source_reference"": ""https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json#row-8486"", ""identity_resolution"": ""official_nba_player_id"", ""team_resolution"": ""official_team_id"", ""raw_text"": ""Denver Nuggets waived guard Mo Williams."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,15512,"{""exact_date"": ""August 13, 2008"", ""season"": ""2008-09"", ""event_type"": ""trade"", ""player_id"": ""1559"", ""player_name"": ""Adrian Griffin"", ""source_player_ref"": ""/players/g/griffad01.html"", ""source_team_id"": 1610612760, ""destination_team_id"": 1610612749, ""source_team_name"": ""Oklahoma City Thunder"", ""destination_team_name"": ""Milwaukee Bucks"", ""source_system"": ""Basketball-Reference via Internet Archive"", ""source_reference"": ""https://web.archive.org/web/20220519122233id_/https://www.basketball-reference.com/leagues/NBA_2009_transactions.html#row-62"", ""identity_resolution"": ""unique_core_name"", ""team_resolution"": ""source=unique_alias;destination=unique_alias"", ""raw_text"": ""In a 3-team trade, the Cleveland Cavaliers traded Damon Jones to the Milwaukee Bucks ; the Cleveland Cavaliers traded Joe Smith to the Oklahoma City Thunder ; the Milwaukee Bucks traded Mo Williams to the Cleveland Cavaliers ; the Milwaukee Bucks traded Desmond Mason to the Oklahoma City Thunder ; and  the Oklahoma City Thunder traded Adrian Griffin and Luke Ridnour to the Milwaukee Bucks ."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,15513,"{""exact_date"": ""August 13, 2008"", ""season"": ""2008-09"", ""event_type"": ""trade"", ""player_id"": ""1800"", ""player_name"": ""Damon Jones"", ""source_player_ref"": ""/players/j/jonesda01.html"", ""source_team_id"": 1610612739, ""destination_team_id"": 1610612749, ""source_team_name"": ""Cleveland Cavaliers"", ""destination_team_name"": ""Milwaukee Bucks"", ""source_system"": ""Basketball-Reference via Internet Archive"", ""source_reference"": ""https://web.archive.org/web/20220519122233id_/https://www.basketball-reference.com/leagues/NBA_2009_transactions.html#row-62"", ""identity_resolution"": ""unique_core_name"", ""team_resolution"": ""source=unique_alias;destination=unique_alias"", ""raw_text"": ""In a 3-team trade, the Cleveland Cavaliers traded Damon Jones to the Milwaukee Bucks ; the Cleveland Cavaliers traded Joe Smith to the Oklahoma City Thunder ; the Milwaukee Bucks traded Mo Williams to the Cleveland Cavaliers ; the Milwaukee Bucks traded Desmond Mason to the Oklahoma City Thunder ; and  the Oklahoma City Thunder traded Adrian Griffin and Luke Ridnour to the Milwaukee Bucks ."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,15514,"{""exact_date"": ""August 13, 2008"", ""season"": ""2008-09"", ""event_type"": ""trade"", ""player_id"": ""2046"", ""player_name"": ""Desmond Mason"", ""source_player_ref"": ""/players/m/masonde01.html"", ""source_team_id"": 1610612749, ""destination_team_id"": 1610612760, ""source_team_name"": ""Milwaukee Bucks"", ""destination_team_name"": ""Oklahoma City Thunder"", ""source_system"": ""Basketball-Reference via Internet Archive"", ""source_reference"": ""https://web.archive.org/web/20220519122233id_/https://www.basketball-reference.com/leagues/NBA_2009_transactions.html#row-62"", ""identity_resolution"": ""unique_core_name"", ""team_resolution"": ""source=unique_alias;destination=unique_alias"", ""raw_text"": ""In a 3-team trade, the Cleveland Cavaliers traded Damon Jones to the Milwaukee Bucks ; the Cleveland Cavaliers traded Joe Smith to the Oklahoma City Thunder ; the Milwaukee Bucks traded Mo Williams to the Cleveland Cavaliers ; the Milwaukee Bucks traded Desmond Mason to the Oklahoma City Thunder ; and  the Oklahoma City Thunder traded Adrian Griffin and Luke Ridnour to the Milwaukee Bucks ."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,15516,"{""exact_date"": ""August 13, 2008"", ""season"": ""2008-09"", ""event_type"": ""trade"", ""player_id"": ""2557"", ""player_name"": ""Luke Ridnour"", ""source_player_ref"": ""/players/r/ridnolu01.html"", ""source_team_id"": 1610612760, ""destination_team_id"": 1610612749, ""source_team_name"": ""Oklahoma City Thunder"", ""destination_team_name"": ""Milwaukee Bucks"", ""source_system"": ""Basketball-Reference via Internet Archive"", ""source_reference"": ""https://web.archive.org/web/20220519122233id_/https://www.basketball-reference.com/leagues/NBA_2009_transactions.html#row-62"", ""identity_resolution"": ""unique_core_name"", ""team_resolution"": ""source=unique_alias;destination=unique_alias"", ""raw_text"": ""In a 3-team trade, the Cleveland Cavaliers traded Damon Jones to the Milwaukee Bucks ; the Cleveland Cavaliers traded Joe Smith to the Oklahoma City Thunder ; the Milwaukee Bucks traded Mo Williams to the Cleveland Cavaliers ; the Milwaukee Bucks traded Desmond Mason to the Oklahoma City Thunder ; and  the Oklahoma City Thunder traded Adrian Griffin and Luke Ridnour to the Milwaukee Bucks ."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,15517,"{""exact_date"": ""August 13, 2008"", ""season"": ""2008-09"", ""event_type"": ""trade"", ""player_id"": ""2590"", ""player_name"": ""Mo Williams"", ""source_player_ref"": ""/players/w/willima01.html"", ""source_team_id"": 1610612749, ""destination_team_id"": 1610612739, ""source_team_name"": ""Milwaukee Bucks"", ""destination_team_name"": ""Cleveland Cavaliers"", ""source_system"": ""Basketball-Reference via Internet Archive"", ""source_reference"": ""https://web.archive.org/web/20220519122233id_/https://www.basketball-reference.com/leagues/NBA_2009_transactions.html#row-62"", ""identity_resolution"": ""unique_core_name"", ""team_resolution"": ""source=unique_alias;destination=unique_alias"", ""raw_text"": ""In a 3-team trade, the Cleveland Cavaliers traded Damon Jones to the Milwaukee Bucks ; the Cleveland Cavaliers traded Joe Smith to the Oklahoma City Thunder ; the Milwaukee Bucks traded Mo Williams to the Cleveland Cavaliers ; the Milwaukee Bucks traded Desmond Mason to the Oklahoma City Thunder ; and  the Oklahoma City Thunder traded Adrian Griffin and Luke Ridnour to the Milwaukee Bucks ."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,15518,"{""exact_date"": ""August 13, 2008"", ""season"": ""2008-09"", ""event_type"": ""trade"", ""player_id"": ""693"", ""player_name"": ""Joe Smith"", ""source_player_ref"": ""/players/s/smithjo02.html"", ""source_team_id"": 1610612739, ""destination_team_id"": 1610612760, ""source_team_name"": ""Cleveland Cavaliers"", ""destination_team_name"": ""Oklahoma City Thunder"", ""source_system"": ""Basketball-Reference via Internet Archive"", ""source_reference"": ""https://web.archive.org/web/20220519122233id_/https://www.basketball-reference.com/leagues/NBA_2009_transactions.html#row-62"", ""identity_resolution"": ""unique_core_name"", ""team_resolution"": ""source=unique_alias;destination=unique_alias"", ""raw_text"": ""In a 3-team trade, the Cleveland Cavaliers traded Damon Jones to the Milwaukee Bucks ; the Cleveland Cavaliers traded Joe Smith to the Oklahoma City Thunder ; the Milwaukee Bucks traded Mo Williams to the Cleveland Cavaliers ; the Milwaukee Bucks traded Desmond Mason to the Oklahoma City Thunder ; and  the Oklahoma City Thunder traded Adrian Griffin and Luke Ridnour to the Milwaukee Bucks ."", ""confidence"": ""high""}"
2004-05,2590,1610612749,team_trb_all_players/impact_database/roster_tenure/normalized_transactions.jsonl.gz,15697,"{""exact_date"": ""August 21, 2004"", ""season"": ""2004-05"", ""event_type"": ""acquire"", ""player_id"": ""2590"", ""player_name"": ""Mo Williams"", ""source_player_ref"": ""/players/w/willima01.html"", ""source_team_id"": null, ""destination_team_id"": 1610612749, ""source_team_name"": null, ""destination_team_name"": ""Milwaukee Bucks"", ""source_system"": ""Basketball-Reference via Internet Archive"", ""source_reference"": ""https://web.archive.org/web/20221209192502id_/https://www.basketball-reference.com/leagues/NBA_2005_transactions.html#row-68"", ""identity_resolution"": ""unique_core_name"", ""team_resolution"": ""source=not_applicable;destination=unique_alias"", ""raw_text"": ""The Milwaukee Bucks signed Mo Williams as a free agent."", ""confidence"": ""high""}"
