season,player_id,team_id,expected,schedule_sources,schedule_games,verdict,accepted_game_ids,reason,transaction_proof
2021-22,1630598,1610612760,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22100011|22100023|22100038|22100051|22100061|22100086|22100102|22100123|22100144|22100165|22100180|22100196|22100207|22100221|22100234|22100243|22100255|22100276|22100286|22100308|22100326|22100330|22100354|22100371|22100389|22100400|22100422|22100444|22100460|22100474|22100483|22100497|22100515|22100522|22100536|22100550|22100574|22100587|22100601|22100612|22100630|22100646|22100663|22100676|22100684|22100695|22100730|22100741|22100765|22100778|22100795|22100801|22100813|22100827|22100840|22100852|22100860|22100881|22100893|22100897|22100925|22100938|22100951|22100965|22100979|22100986|22101018|22101023|22101040|22101052|22101065|22101078|22101091|22101113|22101130|22101143|22101157|22101174|22101185|22101194|22101211|22101222,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2021-08-14"", ""acquire"", """", ""1610612760"", ""Oklahoma City Thunder re-signed guard Aaron Wiggins to a Two-Way Contract.""], [""2022-02-12"", ""acquire"", """", ""1610612760"", ""Oklahoma City Thunder re-signed guard Aaron Wiggins to a Rest-of-Season Contract.""]]"
2022-23,1630322,1610612760,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22200010|22200035|22200041|22200054|22200067|22200086|22200105|22200119|22200136|22200146|22200168|22200179|22200192|22200201|22200213|22200229|22200254|22200268|22200281|22200287|22200304|22200319|22200341|22200354|22200368|22200390|22200405|22200419|22200435|22200443|22200458|22200474|22200488|22200511|22200523|22200545|22200562|22200566|22200584|22200602|22200611|22200626|22200636|22200651|22200674|22200691|22200702|22200725|22200739|22200759|22200773|22200799|22200814|22200821|22200843|22200864|22200880|22200892|22200899|22200915|22200928|22200940|22200951|22200968|22200982|22200990|22201011|22201018|22201031|22201044|22201064|22201082|22201096|22201106|22201120|22201134|22201142|22201149|22201172|22201187|22201200|22201226,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2022-02-10"", ""acquire"", """", ""1610612760"", ""Oklahoma City Thunder signed forward Lindy Waters III to a Two-Way Contract.""], [""2023-02-27"", ""acquire"", """", ""1610612760"", ""Oklahoma City Thunder re-signed forward Lindy Waters III to a Rest-of-Season Contract.""]]"
2022-23,1630692,1610612764,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,UNRESOLVED,,transaction_state_outside_team_on_58_games,"[[""2022-01-05"", ""depart"", ""1610612764"", """", ""Derived natural expiration of 10-Day Contract signed 2021-12-27; endpoint is 10 calendar days after signing or the third scheduled regular-season game, whichever is later.""], [""2023-02-24"", ""acquire"", """", ""1610612764"", ""Washington Wizards re-signed guard Jordan Goodwin to a Rest-of-Season Contract.""]]"
2022-23,202711,1610612765,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22200003|22200023|22200029|22200052|22200057|22200070|22200091|22200100|22200113|22200120|22200146|22200163|22200178|22200186|22200199|22200223|22200234|22200242|22200258|22200270|22200283|22200295|22200309|22200325|22200347|22200361|22200371|22200383|22200396|22200414|22200429|22200447|22200461|22200467|22200481|22200499|22200515|22200532|22200544|22200559|22200573|22200585|22200596|22200612|22200618|22200632|22200648|22200678|22200706|22200731|22200743|22200761|22200769|22200785|22200794|22200808|22200822|22200835|22200856|22200877|22200888|22200903|22200919|22200934|22200957|22200977|22200992|22201006|22201020|22201028|22201042|22201066|22201078|22201099|22201122|22201142|22201155|22201169|22201177|22201189|22201203|22201223,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2022-09-22"", ""trade"", ""1610612762"", ""1610612765"", ""Detroit Pistons received forward Bojan Bogdanovic from Utah Jazz.""], [""2022-10-30"", ""acquire"", """", ""1610612765"", ""Detroit Pistons re-signed forward Bojan Bogdanovic to a Veteran Extension.""]]"
2022-23,1630208,1610612766,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22200011|22200017|22200038|22200058|22200071|22200082|22200096|22200111|22200125|22200133|22200144|22200159|22200174|22200189|22200200|22200211|22200225|22200241|22200260|22200272|22200301|22200326|22200339|22200352|22200364|22200377|22200399|22200414|22200428|22200450|22200460|22200476|22200492|22200504|22200513|22200523|22200539|22200551|22200564|22200583|22200598|22200613|22200629|22200642|22200656|22200671|22200694|22200710|22200718|22200732|22200752|22200767|22200781|22200785|22200802|22200823|22200838|22200847|22200857|22200873|22200898|22200904|22200919|22200933|22200946|22200965|22200979|22200992|22201005|22201015|22201027|22201047|22201071|22201095|22201101|22201113|22201134|22201148|22201163|22201176|22201202|22201218,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2020-11-30"", ""acquire"", """", ""1610612766"", ""Charlotte Hornets re-signed center Nick Richards to a Contract.""], [""2023-03-22"", ""acquire"", """", ""1610612766"", ""Charlotte Hornets re-signed center Nick Richards to a Veteran Extension.""]]"
2022-23,1631121,1610612766,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22200011|22200017|22200038|22200058|22200071|22200082|22200096|22200111|22200125|22200133|22200144|22200159|22200174|22200189|22200200|22200211|22200225|22200241|22200260|22200272|22200301|22200326|22200339|22200352|22200364|22200377|22200399|22200414|22200428|22200450|22200460|22200476|22200492|22200504|22200513|22200523|22200539|22200551|22200564|22200583|22200598|22200613|22200629|22200642|22200656|22200671|22200694|22200710|22200718|22200732|22200752|22200767|22200781|22200785|22200802|22200823|22200838|22200847|22200857|22200873|22200898|22200904|22200919|22200933|22200946|22200965|22200979|22200992|22201005|22201015|22201027|22201047|22201071|22201095|22201101|22201113|22201134|22201148|22201163|22201176|22201202|22201218,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2022-07-02"", ""acquire"", """", ""1610612766"", ""Charlotte Hornets re-signed guard Bryce McGowens to a Two-Way Contract.""], [""2023-02-26"", ""acquire"", """", ""1610612766"", ""Charlotte Hornets re-signed guard Bryce McGowens to a Rest-of-Season Contract.""]]"
2023-24,1630346,1610612740,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2023-24,1630592,1610612751,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22300004|22300010|22300020|22300054|22300067|22300084|22300101|22300119|22300136|22300149|22300160|22300178|22300200|22300208|22300227|22300240|22300250|22300266|22300282|22300303|22300317|22300322|22300339|22300357|22300368|22300383|22300394|22300406|22300417|22300430|22300447|22300461|22300469|22300481|22300498|22300527|22300562|22300578|22300591|22300600|22300615|22300629|22300645|22300660|22300677|22300698|22300717|22300720|22300735|22300750|22300771|22300780|22300795|22300815|22300830|22300833|22300851|22300866|22300879|22300887|22300902|22300918|22300930|22300947|22300968|22300981|22300993|22301007|22301019|22301036|22301050|22301066|22301078|22301089|22301106|22301128|22301141|22301160|22301175|22301192|22301209|22301219,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2023-07-05"", ""acquire"", """", ""1610612751"", ""Brooklyn Nets re-signed forward Jalen Wilson to a Two-Way Contract.""], [""2024-03-01"", ""acquire"", """", ""1610612751"", ""Brooklyn Nets re-signed forward Jalen Wilson to a Rest-of-Season Contract.""]]"
2023-24,1631246,1610612763,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2023-24,1641713,1610612763,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2024-25,1642366,1610612744,82,schedule_out/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv|team_trb_all_players/impact_database/static_exact_schedules/TREB_CURRENT_21_STATIC_TEAM_SCHEDULE.csv,82,EXACT_TRANSACTION_STATE_SCHEDULE_TENURE_IDENTITY,22400007|22400019|22400032|22400058|22400072|22400084|22400101|22400116|22400126|22400144|22400155|22400172|22400188|22400207|22400251|22400258|22400269|22400284|22400299|22400303|22400332|22400338|22400355|22400366|22400383|22400403|22400408|22400426|22400431|22400446|22400467|22400485|22400492|22400508|22400518|22400525|22400550|22400565|22400589|22400604|22400619|22400628|22400644|22400661|22400673|22400685|22400708|22400725|22400731|22400745|22400760|22400782|22400784|22400805|22400812|22400834|22400845|22400864|22400875|22400885|22400901|22400919|22400938|22400957|22400974|22400990|22401005|22401012|22401025|22401047|22401072|22401086|22401100|22401117|22401125|22401143|22401154|22401163|22401183|22401198|22401204|22401228,high_confidence_transaction_state_in_team_for_every_exact_schedule_game,"[[""2024-09-26"", ""acquire"", """", ""1610612744"", ""Golden State Warriors re-signed center Quinten Post to a Two-Way Contract.""], [""2025-02-07"", ""acquire"", """", ""1610612744"", ""Golden State Warriors re-signed center Quinten Post to a Rest-of-Season Contract.""]]"
