expected_team_games,ledger_player_games,minute_compatible_contiguous_candidates,player_id,prior_minutes_delta_seconds,prior_status,prior_tenure_identity_source,reason,schedule_games,schedule_order_source,season,status,target_record_present,target_seconds,team_id
82,80,0,1630208,,NO_EXACT_TENURE_IDENTITY,,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2022-23,UNRESOLVED,True,73060.0,1610612766
82,70,0,1631121,,NO_EXACT_TENURE_IDENTITY,,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2022-23,UNRESOLVED,True,47218.0,1610612766
82,45,0,1630346,,NO_EXACT_TENURE_IDENTITY,,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2023-24,UNRESOLVED,True,23420.0,1610612740
82,73,0,1630541,129.0,BLOCKED_VALIDATION,schedule_audited_tenure_identity,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2023-24,UNRESOLVED,True,69353.0,1610612744
82,79,0,202691,129.0,BLOCKED_VALIDATION,schedule_audited_tenure_identity,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2023-24,UNRESOLVED,True,137056.0,1610612744
82,54,0,1630592,,NO_EXACT_TENURE_IDENTITY,,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2023-24,UNRESOLVED,True,39870.0,1610612751
82,69,0,1628380,136.0,BLOCKED_VALIDATION,schedule_audited_tenure_identity,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2023-24,UNRESOLVED,True,91553.0,1610612759
82,78,0,1630200,136.0,BLOCKED_VALIDATION,schedule_audited_tenure_identity,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2023-24,UNRESOLVED,True,128292.0,1610612759
82,72,0,1631246,,NO_EXACT_TENURE_IDENTITY,,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2023-24,UNRESOLVED,True,86190.0,1610612763
82,55,0,1641713,,NO_EXACT_TENURE_IDENTITY,,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2023-24,UNRESOLVED,True,73991.0,1610612763
82,45,0,1642366,,NO_EXACT_TENURE_IDENTITY,,NO_UNIQUE_EXACT_LEDGER_TENURE,82,ledger_game_date,2024-25,UNRESOLVED,True,41143.0,1610612744
82,53,,1631110,211.0,BLOCKED_VALIDATION,schedule_audited_tenure_identity,INSUFFICIENT_TARGET_OR_TEAM_SCHEDULE,80,ledger_game_date,2024-25,UNRESOLVED,True,82048.0,1610612759
82,80,,203084,122.0,BLOCKED_VALIDATION,schedule_audited_tenure_identity,INSUFFICIENT_TARGET_OR_TEAM_SCHEDULE,80,ledger_game_date,2024-25,UNRESOLVED,True,133683.0,1610612759
