season,player_id,team_id,canonical_classification,locked_segment_count,locked_source_supplied
2000-01,1510,1610612739,partial,1,1
2000-01,1513,1610612758,full_core,0,0
2000-01,1517,1610612758,full_core,0,0
2000-01,1521,1610612762,full_core,0,0
2000-01,1531,1610612744,full_core,0,0
2000-01,1533,1610612737,partial,1,1
2000-01,1533,1610612739,partial,1,1
2000-01,1536,1610612751,full_core,0,0
2000-01,1538,1610612739,full_core,0,0
2000-01,1541,1610612761,full_core,0,0
2000-01,1544,1610612737,full_core,0,0
2000-01,1548,1610612738,full_core,0,0
2000-01,1554,1610612748,partial,1,1
2000-01,1559,1610612738,full_core,0,0
2000-01,1562,1610612764,partial,1,1
2000-01,1563,1610612751,partial,1,1
2000-01,1563,1610612755,partial,1,1
2000-01,1564,1610612739,partial,1,1
2000-01,1565,1610612761,full_core,0,0
2000-01,1594,1610612738,partial,1,1
2000-01,1594,1610612752,partial,1,1
2000-01,1600,1610612761,partial,1,1
2000-01,1600,1610612765,partial,1,1
2000-01,1607,1610612753,full_core,0,0
2000-01,1609,1610612758,partial,1,1
2000-01,1612,1610612744,partial,1,1
2000-01,1630,1610612765,full_core,0,0
2000-01,164,1610612752,partial,1,1
2000-01,164,1610612761,partial,1,1
2000-01,165,1610612745,full_core,0,0
2000-01,166,1610612747,full_core,0,0
2000-01,168,1610612744,full_core,0,0
2000-01,1683,1610612737,partial,2,1
2000-01,1683,1610612739,partial,1,1
2000-01,1709,1610612746,full_core,0,0
2000-01,1710,1610612763,full_core,0,0
2000-01,1711,1610612743,full_core,0,0
2000-01,1712,1610612744,full_core,0,0
2000-01,1713,1610612761,full_core,0,0
2000-01,1714,1610612739,full_core,0,0
2000-01,1715,1610612758,full_core,0,0
2000-01,1716,1610612744,full_core,0,0
2000-01,1717,1610612742,full_core,0,0
2000-01,1718,1610612738,full_core,0,0
2000-01,1719,1610612757,full_core,0,0
2000-01,1720,1610612753,full_core,0,0
2000-01,1721,1610612743,partial,1,1
2000-01,1721,1610612761,partial,1,1
2000-01,1722,1610612763,full_core,0,0
2000-01,1723,1610612739,full_core,0,0
2000-01,1724,1610612741,full_core,0,0
2000-01,1725,1610612750,full_core,0,0
2000-01,1727,1610612753,full_core,0,0
2000-01,1728,1610612737,partial,1,1
2000-01,1728,1610612755,partial,1,1
2000-01,1729,1610612748,full_core,0,0
2000-01,1730,1610612746,full_core,0,0
2000-01,1731,1610612747,full_core,0,0
2000-01,1732,1610612750,partial,1,1
2000-01,1732,1610612764,partial,1,1
2000-01,1733,1610612754,full_core,0,0
2000-01,1734,1610612750,full_core,0,0
2000-01,1735,1610612751,partial,1,1
2000-01,1736,1610612741,full_core,0,0
2000-01,1737,1610612737,partial,1,1
2000-01,1737,1610612755,partial,1,1
2000-01,1739,1610612760,full_core,0,0
2000-01,1740,1610612760,full_core,0,0
2000-01,1741,1610612760,full_core,0,0
2000-01,1742,1610612760,full_core,0,0
2000-01,1743,1610612754,full_core,0,0
2000-01,1747,1610612749,full_core,0,0
2000-01,1749,1610612745,full_core,0,0
2000-01,1751,1610612764,full_core,0,0
2000-01,176,1610612757,full_core,0,0
2000-01,1760,1610612759,full_core,0,0
2000-01,1761,1610612742,full_core,0,0
2000-01,1763,1610612743,full_core,0,0
