season,player_id,team_id,expected,schedule_sources,schedule_games,verdict,accepted_game_ids,reason,transaction_proof
2004-05,2590,1610612749,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2004-05,2863,1610612760,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2015-16,203082,1610612761,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2017-18,1626188,1610612744,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2017-18,203496,1610612755,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2019-20,1628408,1610612743,73,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_73_games,[]
2019-20,1629735,1610612748,73,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_73_games,[]
2019-20,1628987,1610612760,72,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_72_games,[]
2021-22,1627780,1610612744,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2021-22,1630613,1610612754,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2021-22,1630598,1610612760,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2022-23,1630322,1610612760,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2022-23,1630692,1610612764,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2022-23,202711,1610612765,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2022-23,1630208,1610612766,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2022-23,1631121,1610612766,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2023-24,1630346,1610612740,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2023-24,1630592,1610612751,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2023-24,1631246,1610612763,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2023-24,1641713,1610612763,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
2024-25,1642366,1610612744,82,,0,UNRESOLVED,,no_retained_schedule_source_with_exact_82_games,[]
