boundary_reason,games_processed,minutes_on,needs_on,opponent_dreb_off,opponent_dreb_on,opponent_oreb_off,opponent_oreb_on,opponent_rebounds_off,opponent_rebounds_on,player,player_id,query_end_date,query_start_date,season,seconds_off,seconds_on,segment_count,segment_index,source,team_abbr,team_dreb_off,team_dreb_on,team_games_in_window,team_id,team_oreb_off,team_oreb_on,team_rebounds_off,team_rebounds_on,treb_off,treb_on,treb_swing_pp,lock_engine,lock_code_commit,minutes_off,oreb_pct_on,oreb_pct_off,oreb_swing_pp,dreb_pct_on,dreb_pct_off,dreb_swing_pp
season_close,51,1368.1833333333334,False,747,981,355,416,1102,1397,Brevin Knight,1510,2001-04-18,2001-01-03,2000-01,65389,82091,1,1,roster_tenure_v2,ATL,748,929,51,1610612737,343,407,1091,1336,0.49749202006383947,0.4888401024515185,-0.8651917612320981,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1089.8166666666666,0.29322766570605185,0.3146788990825688,-2.145123337651694,0.6907063197026022,0.6781504986400725,1.2555821062529726
out_trade,29,93.33333333333333,False,810,73,389,18,1199,91,Brevin Knight,1510,2001-01-02,2000-10-31,2000-01,78820,5600,1,1,roster_tenure_v2,CLE,908,64,29,1610612739,409,29,1317,93,0.5234499205087441,0.5054347826086957,-1.8015137900048384,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1313.6666666666667,0.28431372549019607,0.3355209187858901,-5.1207193295694005,0.7804878048780488,0.700077101002313,8.04107038757358
out_trade,31,278.93333333333334,False,792,197,319,82,1111,279,Anthony Johnson,1533,2001-01-02,2000-10-31,2000-01,72544,16736,1,1,roster_tenure_v2,ATL,847,168,31,1610612737,362,76,1209,244,0.5211206896551724,0.4665391969407266,-5.458149271444585,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1209.0666666666666,0.2783882783882784,0.31369150779896016,-3.530322941068176,0.672,0.7264150943396226,-5.4415094339622545
season_close,53,231.58333333333334,False,1530,171,700,68,2230,239,Anthony Johnson,1533,2001-04-18,2001-01-03,2000-01,139645,13895,1,1,roster_tenure_v2,CLE,1532,146,53,1610612739,696,69,2228,215,0.4997756841633019,0.473568281938326,-2.6207402224975915,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2327.4166666666665,0.2875,0.31266846361185985,-2.516846361185987,0.6822429906542056,0.6863799283154122,-0.41369376612065967
out_depart,13,71.63333333333334,False,387,56,146,15,533,71,Jamal Robinson,1554,2000-11-26,2000-10-31,2000-01,33442,4298,1,1,roster_tenure_v2,MIA,352,42,13,1610612748,142,26,494,68,0.4810126582278481,0.4892086330935252,0.819597486567708,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,557.3666666666667,0.3170731707317073,0.2684310018903592,4.864216884134814,0.7368421052631579,0.7068273092369478,3.0014796026210044
out_depart,55,704.6666666666666,False,1321,476,576,163,1897,639,Gerard King,1562,2001-02-22,2000-10-31,2000-01,116120,42280,1,1,roster_tenure_v2,WAS,1261,460,55,1610612764,573,232,1834,692,0.4915572232645403,0.5199098422238918,2.8352618959351483,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,1935.3333333333333,0.327683615819209,0.30253431890179516,2.5149296917413855,0.7383627608346709,0.6864452912357104,5.191746959896049
out_depart,22,161.66666666666666,False,652,125,262,51,914,176,Kevin Ollie,1563,2000-12-15,2000-10-31,2000-01,53660,9700,1,1,roster_tenure_v2,NJN,586,90,22,1610612751,247,44,833,134,0.47681740125930167,0.432258064516129,-4.455933674317264,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,894.3333333333334,0.2603550295857988,0.27474972191323693,-1.4394692327438119,0.6382978723404256,0.6910377358490566,-5.273986350863103
season_close,57,763.2833333333333,False,1295,464,527,218,1822,682,Kevin Ollie,1563,2001-04-18,2000-12-22,2000-01,120163,45797,1,1,roster_tenure_v2,PHI,1416,526,57,1610612755,636,254,2052,780,0.5296850800206505,0.533515731874145,0.38306518534945155,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,2002.7166666666667,0.35376044568245124,0.32936302433972037,2.4397421342730876,0.706989247311828,0.7287699433865157,-2.178069607468769
out_depart,10,17.883333333333333,False,334,7,133,8,467,15,Etdrick Bohannon,1564,2001-01-28,2001-01-07,2000-01,27727,1073,1,1,roster_tenure_v2,CLE,312,9,10,1610612739,135,8,447,17,0.4890590809628009,0.53125,4.219091903719913,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,462.1166666666667,0.5333333333333333,0.2878464818763326,24.548685145700073,0.5294117647058824,0.701123595505618,-17.171183079973563
out_depart,7,141.15,False,145,108,54,27,199,135,Rick Brunson,1594,2000-11-21,2000-11-06,2000-01,11991,8469,1,1,roster_tenure_v2,BOS,124,96,7,1610612738,65,45,189,141,0.48711340206185566,0.5108695652173914,2.375616315553569,historical_recovered_completion,1b5b438387fdc914aa4712c37f305900f3f59e03,199.85,0.29411764705882354,0.30952380952380953,-1.5406162464985995,0.7804878048780488,0.6966292134831461,8.38585913949027
