season,player_id,team_id,player,canonical_classification,current_selected_source_layer,covered_before_safe_lock,safe_lock_source_supplied,safe_lock_value_valid,newly_resolved_by_safe_lock,selected_source_layer_after_safe_lock,covered_after_safe_lock,team_oreb_on,team_dreb_on,opponent_oreb_on,opponent_dreb_on,team_oreb_off,team_dreb_off,opponent_oreb_off,opponent_dreb_off,seconds_on,seconds_off,games_processed,safe_treb_on,safe_treb_off,safe_treb_swing_pp,safe_lock_segment_rows,locked_treb_on,locked_treb_off,locked_treb_swing_pp,safe_vs_locked_on_diff_pp,safe_vs_locked_off_diff_pp,safe_vs_locked_swing_diff_pp,safe_vs_locked_max_abs_diff_pp,material_numeric_conflict_gt_0_01pp
2000-01,1533,1610612739,Anthony Johnson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,69,146,68,171,696,1532,700,1530,13895,139645,53,0.473568281938326,0.4997756841633019,-2.6207402224975915,1,0.473568281938326,0.4997756841633019,-2.6207402224975915,0.0,0.0,0.0,0.0,False
2000-01,1510,1610612739,Brevin Knight,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,29,64,18,73,409,908,389,810,5600,78820,29,0.5054347826086957,0.5234499205087441,-1.8015137900048384,1,0.5054347826086957,0.5234499205087441,-1.8015137900048384,0.0,0.0,0.0,0.0,False
2000-01,1138,1610612739,Michael Hawkins,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,21,46,16,53,278,589,231,532,4501,50519,19,0.49264705882352944,0.5319018404907976,-3.9254781667268146,1,0.49264705882352944,0.5319018404907976,-3.9254781667268146,0.0,0.0,0.0,0.0,False
2000-01,462,1610612739,J.R. Reid,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,9,27,13,31,429,945,394,852,2394,82026,29,0.45,0.5244274809160305,-7.442748091603052,1,0.45,0.5244274809160305,-7.442748091603052,0.0,0.0,0.0,0.0,False
2000-01,1564,1610612739,Etdrick Bohannon,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,8,9,8,7,135,312,133,334,1073,27727,10,0.53125,0.4890590809628009,4.219091903719913,1,0.53125,0.4890590809628009,4.219091903719913,0.0,0.0,0.0,0.0,False
2000-01,1683,1610612739,Larry Robinson,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,0,0,0,1,13,33,23,27,87,2793,1,0.0,0.4791666666666667,-47.91666666666667,1,0.0,0.4791666666666667,-47.91666666666667,0.0,0.0,0.0,0.0,False
2000-01,2064,1610612741,Khalid El-Amin,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,291,583,263,691,620,1423,653,1552,56119,135461,66,0.47811816192560175,0.4809322033898305,-0.2814041464228756,1,0.47811816192560175,0.4809322033898305,-0.2814041464228756,0.0,0.0,0.0,0.0,False
2000-01,1864,1610612741,Steve Goodrich,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,45,86,32,71,101,247,118,302,7910,26650,12,0.5598290598290598,0.453125,10.670405982905983,1,0.5598290598290598,0.453125,10.670405982905983,0.0,0.0,0.0,0.0,False
2000-01,93,1610612742,Hubert Davis,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,306,857,388,906,360,944,443,947,75666,83934,55,0.47334147334147336,0.4840386043058649,-1.069713096439151,1,0.47334147334147336,0.4840386043058649,-1.069713096439151,0.0,0.0,0.0,0.0,False
2000-01,436,1610612742,Juwan Howard,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,235,709,308,695,74,229,93,222,59709,18351,27,0.48484848484848486,0.49029126213592233,-0.5442777287437472,1,0.48484848484848486,0.49029126213592233,-0.5442777287437472,0.0,0.0,0.0,0.0,False
2000-01,363,1610612742,Christian Laettner,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,220,576,273,645,446,1225,558,1208,55593,104007,55,0.4644107351225204,0.48617980797206867,-2.1769072849548268,1,0.4644107351225204,0.48617980797206867,-2.1769072849548268,0.0,0.0,0.0,0.0,False
2000-01,2042,1610612742,Courtney Alexander,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,125,307,141,351,541,1494,690,1502,27892,131708,55,0.4675324675324675,0.4814289093920038,-1.3896441859536257,1,0.4675324675324675,0.4814289093920038,-1.3896441859536257,0.0,0.0,0.0,0.0,False
2000-01,919,1610612742,Loy Vaught,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,106,267,107,278,560,1534,724,1575,23505,136095,55,0.4920844327176781,0.47666742544957885,1.5417007268099248,1,0.4920844327176781,0.47666742544957885,1.5417007268099248,0.0,0.0,0.0,0.0,False
2000-01,1916,1610612742,Calvin Booth,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,70,222,95,220,239,716,306,697,17438,60622,27,0.48105436573311366,0.4877425944841675,-0.6688228751053849,1,0.48105436573311366,0.4877425944841675,-0.6688228751053849,0.0,0.0,0.0,0.0,False
