season,player_id,team_id,player,canonical_classification,current_selected_source_layer,covered_before_safe_lock,safe_lock_source_supplied,safe_lock_value_valid,newly_resolved_by_safe_lock,selected_source_layer_after_safe_lock,covered_after_safe_lock,team_oreb_on,team_dreb_on,opponent_oreb_on,opponent_dreb_on,team_oreb_off,team_dreb_off,opponent_oreb_off,opponent_dreb_off,seconds_on,seconds_off,games_processed,safe_treb_on,safe_treb_off,safe_treb_swing_pp,safe_lock_segment_rows,locked_treb_on,locked_treb_off,locked_treb_swing_pp,safe_vs_locked_on_diff_pp,safe_vs_locked_off_diff_pp,safe_vs_locked_swing_diff_pp,safe_vs_locked_max_abs_diff_pp,material_numeric_conflict_gt_0_01pp
2000-01,1000,1610612745,Shandon Anderson,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,1005,1610612745,Walt Williams,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,1023,1610612760,Emanual Davis,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,103,1610612750,Todd Day,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,94.0,221.0,95.0,222.0,700.0,1621.0,677.0,1632.0,20439.0,144921.0,57.0,0.49841772151898733,0.5012958963282937,-0.2878174809306411,1.0,0.49841772151898733,0.5012958963282937,-0.2878174809306411,0.0,0.0,0.0,0.0,False
2000-01,1032,1610612749,Darvin Ham,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,1035,1610612759,Shawnelle Scott,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,105,1610612748,Dan Majerle,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,1051,1610612750,Dean Garrett,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,1065,1610612752,Erick Strickland,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,123.0,296.0,109.0,256.0,370.0,1088.0,435.0,1081.0,25276.0,96584.0,42.0,0.5344387755102041,0.4902488231338265,4.418995237637763,1.0,0.5344387755102041,0.4902488231338265,4.418995237637763,0.0,0.0,0.0,0.0,False
2000-01,1065,1610612763,Erick Strickland,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,101.0,271.0,119.0,294.0,379.0,932.0,460.0,973.0,24418.0,85022.0,38.0,0.47388535031847134,0.47776967930029157,-0.38843289818202287,1.0,0.47388535031847134,0.47776967930029157,-0.38843289818202287,0.0,0.0,0.0,0.0,False
2000-01,1073,1610612750,Reggie Slater,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,1074,1610612737,Matt Maloney,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,1085,1610612737,Ira Bowman,partial,older_locked_completed_export,True,True,True,False,older_locked_completed_export,True,5.0,10.0,4.0,11.0,83.0,203.0,97.0,194.0,1156.0,16124.0,6.0,0.5,0.49566724436741766,0.43327556325823413,1.0,0.5,0.49566724436741766,0.43327556325823413,0.0,0.0,0.0,0.0,False
2000-01,1088,1610612765,Chucky Atkins,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,109,1610612747,Robert Horry,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
2000-01,111,1610612750,LaPhonso Ellis,full_core,not_yet_supplied_after_exact_union_and_locked_layer,False,False,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False,,,,,,,,,,,,,,,,,,,,,,,
