canonical_key,season,player_id,team_id,canonical_classification,evidence_classes,source_count,game_id_count,exact_accumulator_candidate,candidate_conflict,has_any_retained_evidence
2000-01|1521|1610612762,2000-01,1521,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1531|1610612744,2000-01,1531,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1536|1610612751,2000-01,1536,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1538|1610612739,2000-01,1538,1610612739,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1541|1610612761,2000-01,1541,1610612761,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1544|1610612737,2000-01,1544,1610612737,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1548|1610612738,2000-01,1548,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1559|1610612738,2000-01,1559,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1565|1610612761,2000-01,1565,1610612761,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|15|1610612746,2000-01,15,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1607|1610612753,2000-01,1607,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1630|1610612765,2000-01,1630,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|165|1610612745,2000-01,165,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|166|1610612747,2000-01,166,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|168|1610612744,2000-01,168,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1709|1610612746,2000-01,1709,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1710|1610612763,2000-01,1710,1610612763,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1711|1610612743,2000-01,1711,1610612743,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1712|1610612744,2000-01,1712,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1713|1610612761,2000-01,1713,1610612761,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1714|1610612739,2000-01,1714,1610612739,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1715|1610612758,2000-01,1715,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1716|1610612744,2000-01,1716,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1717|1610612742,2000-01,1717,1610612742,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1718|1610612738,2000-01,1718,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1719|1610612757,2000-01,1719,1610612757,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1720|1610612753,2000-01,1720,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1722|1610612763,2000-01,1722,1610612763,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1723|1610612739,2000-01,1723,1610612739,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1724|1610612741,2000-01,1724,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1725|1610612750,2000-01,1725,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1727|1610612753,2000-01,1727,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1729|1610612748,2000-01,1729,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1730|1610612746,2000-01,1730,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1731|1610612747,2000-01,1731,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1733|1610612754,2000-01,1733,1610612754,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1734|1610612750,2000-01,1734,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1736|1610612741,2000-01,1736,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1739|1610612760,2000-01,1739,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1740|1610612760,2000-01,1740,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1741|1610612760,2000-01,1741,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1742|1610612760,2000-01,1742,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1743|1610612754,2000-01,1743,1610612754,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1747|1610612749,2000-01,1747,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1749|1610612745,2000-01,1749,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1751|1610612764,2000-01,1751,1610612764,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1760|1610612759,2000-01,1760,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1761|1610612742,2000-01,1761,1610612742,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1763|1610612743,2000-01,1763,1610612743,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|176|1610612757,2000-01,176,1610612757,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|178|1610612762,2000-01,178,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|179|1610612738,2000-01,179,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1800|1610612763,2000-01,1800,1610612763,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1802|1610612741,2000-01,1802,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|180|1610612762,2000-01,180,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|182|1610612765,2000-01,182,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1853|1610612748,2000-01,1853,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|185|1610612758,2000-01,185,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1863|1610612746,2000-01,1863,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1882|1610612741,2000-01,1882,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1883|1610612745,2000-01,1883,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1884|1610612766,2000-01,1884,1610612766,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1885|1610612746,2000-01,1885,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1886|1610612754,2000-01,1886,1610612754,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1887|1610612750,2000-01,1887,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1888|1610612764,2000-01,1888,1610612764,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1889|1610612739,2000-01,1889,1610612739,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1890|1610612756,2000-01,1890,1610612756,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1891|1610612737,2000-01,1891,1610612737,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1892|1610612739,2000-01,1892,1610612739,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1894|1610612746,2000-01,1894,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1895|1610612750,2000-01,1895,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1897|1610612741,2000-01,1897,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1898|1610612737,2000-01,1898,1610612737,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1899|1610612743,2000-01,1899,1610612743,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1900|1610612762,2000-01,1900,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1901|1610612737,2000-01,1901,1610612737,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1902|1610612754,2000-01,1902,1610612754,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1903|1610612745,2000-01,1903,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1904|1610612747,2000-01,1904,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1906|1610612766,2000-01,1906,1610612766,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1907|1610612744,2000-01,1907,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1908|1610612755,2000-01,1908,1610612755,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1909|1610612762,2000-01,1909,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|190|1610612748,2000-01,190,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1913|1610612741,2000-01,1913,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1914|1610612738,2000-01,1914,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1915|1610612751,2000-01,1915,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1917|1610612742,2000-01,1917,1610612742,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1919|1610612764,2000-01,1919,1610612764,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1924|1610612766,2000-01,1924,1610612766,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1928|1610612755,2000-01,1928,1610612755,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1930|1610612754,2000-01,1930,1610612754,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|193|1610612748,2000-01,193,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|1944|1610612766,2000-01,1944,1610612766,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1956|1610612759,2000-01,1956,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|1985|1610612746,2000-01,1985,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|198|1610612759,2000-01,198,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|201|1610612756,2000-01,201,1610612756,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2030|1610612751,2000-01,2030,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2031|1610612763,2000-01,2031,1610612763,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2032|1610612746,2000-01,2032,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2033|1610612741,2000-01,2033,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2034|1610612753,2000-01,2034,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2035|1610612737,2000-01,2035,1610612737,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2036|1610612739,2000-01,2036,1610612739,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2037|1610612741,2000-01,2037,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2038|1610612749,2000-01,2038,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2039|1610612746,2000-01,2039,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2040|1610612738,2000-01,2040,1610612738,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2043|1610612765,2000-01,2043,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2044|1610612745,2000-01,2044,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2045|1610612758,2000-01,2045,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2046|1610612760,2000-01,2046,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2047|1610612746,2000-01,2047,1610612746,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2048|1610612766,2000-01,2048,1610612766,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2050|1610612761,2000-01,2050,1610612761,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2051|1610612742,2000-01,2051,1610612742,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2052|1610612762,2000-01,2052,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2053|1610612741,2000-01,2053,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2054|1610612756,2000-01,2054,1610612756,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2057|1610612757,2000-01,2057,1610612757,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2058|1610612747,2000-01,2058,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2059|1610612742,2000-01,2059,1610612742,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2061|1610612745,2000-01,2061,1610612745,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2062|1610612741,2000-01,2062,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2063|1610612741,2000-01,2063,1610612741,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2066|1610612751,2000-01,2066,1610612751,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2067|1610612748,2000-01,2067,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2068|1610612752,2000-01,2068,1610612752,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2069|1610612737,2000-01,2069,1610612737,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2071|1610612760,2000-01,2071,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2072|1610612749,2000-01,2072,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2073|1610612765,2000-01,2073,1610612765,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2074|1610612758,2000-01,2074,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2078|1610612749,2000-01,2078,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2084|1610612744,2000-01,2084,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|208|1610612749,2000-01,208,1610612749,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2091|1610612756,2000-01,2091,1610612756,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2098|1610612747,2000-01,2098,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|209|1610612761,2000-01,209,1610612761,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|2106|1610612760,2000-01,2106,1610612760,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|210|1610612750,2000-01,210,1610612750,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|2130|1610612747,2000-01,2130,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|213|1610612761,2000-01,213,1610612761,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|216|1610612747,2000-01,216,1610612747,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|21|1610612757,2000-01,21,1610612757,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|221|1610612739,2000-01,221,1610612739,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|224|1610612748,2000-01,224,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|228|1610612744,2000-01,228,1610612744,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
2000-01|236|1610612763,2000-01,236,1610612763,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|238|1610612755,2000-01,238,1610612755,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|239|1610612758,2000-01,239,1610612758,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|243|1610612755,2000-01,243,1610612755,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|244|1610612753,2000-01,244,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|248|1610612755,2000-01,248,1610612755,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|251|1610612759,2000-01,251,1610612759,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|252|1610612762,2000-01,252,1610612762,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|255|1610612753,2000-01,255,1610612753,full_core,exact_canonical_accumulator|provenance_or_other,5,0,False,False,True
2000-01|258|1610612748,2000-01,258,1610612748,full_core,exact_canonical_accumulator|provenance_or_other,6,0,False,False,True
