season,team_id,player_id,player
2019-20,1610612757,1629121,Jaylen Adams
2020-21,1610612739,1629645,Kevin Porter Jr.
2020-21,1610612745,1629598,Chris Clemons
2020-21,1610612745,203957,Dante Exum
2020-21,1610612752,1628390,Terrance Ferguson
2020-21,1610612752,1629016,Omari Spellman
2020-21,1610612752,1629738,Vincent Poirier
2020-21,1610612752,203089,John Henson
2020-21,1610612760,2772,Trevor Ariza
2021-22,1610612737,1629598,Chris Clemons
2021-22,1610612737,1630707,Malik Ellison
2021-22,1610612738,1628408,P.J. Dozier
2021-22,1610612738,1629626,Bol Bol
2021-22,1610612738,202329,Al-Farouq Aminu
2021-22,1610612738,203658,Norvel Pelle
2021-22,1610612740,1629597,Zylan Cheatham
2021-22,1610612740,1629671,Miye Oni
2021-22,1610612740,1629713,Justin James
2021-22,1610612740,1629756,Daulton Hommes
2021-22,1610612740,1630624,Feron Hunt
2021-22,1610612745,1630610,DeJon Jarreau
2021-22,1610612748,1629597,Zylan Cheatham
2021-22,1610612748,1629689,Aric Holman
2021-22,1610612748,201596,Mario Chalmers
2021-22,1610612752,1629677,Luka Samanic
2021-22,1610612752,203524,Solomon Hill
2021-22,1610612753,202734,E'Twaun Moore
2021-22,1610612753,203487,Michael Carter-Williams
2021-22,1610612754,201937,Ricky Rubio
2021-22,1610612755,1627732,Ben Simmons
2021-22,1610612765,1630607,Chris Smith
2022-23,1610612741,1628961,Kostas Antetokounmpo
2022-23,1610612745,201571,D.J. Augustin
2022-23,1610612752,1629610,DaQuan Jeffries
2022-23,1610612752,1630613,Duane Washington Jr.
2022-23,1610612756,203109,Jae Crowder
2022-23,1610612759,203920,Khem Birch
2023-24,1610612737,1641936,Miles Norris
2023-24,1610612738,1630233,Nathan Knight
2023-24,1610612739,201937,Ricky Rubio
2023-24,1610612745,203500,Steven Adams
2023-24,1610612749,1641945,Jaylin Galloway
2023-24,1610612751,1641798,Jaylen Martin
2023-24,1610612752,1641798,Jaylen Martin
2023-24,1610612761,1631132,Christian Koloko
2023-24,1610612762,1630528,Josh Christopher
2023-24,1610612763,203500,Steven Adams
2023-24,1610612764,1630181,R.J. Hampton
2023-24,1610612764,1630587,Isaiah Livers
2023-24,1610612764,1631219,John Butler Jr.
2024-25,1610612737,1641754,Seth Lundy
2024-25,1610612737,203469,Cody Zeller
2024-25,1610612738,1641817,Anton Watson
2024-25,1610612741,1630569,Dj Steward
2024-25,1610612744,1642379,Taran Armstrong
2024-25,1610612745,203469,Cody Zeller
2024-25,1610612746,1641754,Seth Lundy
2024-25,1610612746,200782,P.J. Tucker
2024-25,1610612747,1626174,Christian Wood
2024-25,1610612747,1628467,Maxi Kleber
2024-25,1610612751,1629001,De'Anthony Melton
2024-25,1610612751,202711,Bojan Bogdanovic
2024-25,1610612753,1630679,Ethan Thompson
2024-25,1610612761,1627742,Brandon Ingram
2024-25,1610612761,200782,P.J. Tucker
2024-25,1610612762,1630554,Jason Preston
2024-25,1610612763,1631098,Johnny Davis
2025-26,1610612737,1641871,Duop Reath
2025-26,1610612737,1642013,Malik Williams
2025-26,1610612737,1642947,Eli John Ndiaye
2025-26,1610612739,1641801,Emanuel Miller
2025-26,1610612740,1630531,Jaden Springer
2025-26,1610612741,1631172,Ousmane Dieng
2025-26,1610612741,203967,Dario Saric
2025-26,1610612742,203957,Dante Exum
2025-26,1610612743,1642926,Tamar Bates
2025-26,1610612744,1642050,Jackson Rowe
2025-26,1610612744,1642893,Alex Toohey
2025-26,1610612745,1630284,Kevon Harris
2025-26,1610612745,1641890,Tyler Smith
2025-26,1610612748,1626179,Terry Rozier
2025-26,1610612750,1631262,Jules Bernard
2025-26,1610612751,1629312,Haywood Highsmith
2025-26,1610612754,1642440,Gabe Mcglothan
2025-26,1610612756,1630175,Cole Anthony
2025-26,1610612759,1630667,Kyle Mangas
2025-26,1610612759,1641801,Emanuel Miller
2025-26,1610612761,101108,Chris Paul
2025-26,1610612761,1642615,Tyreke Key
2025-26,1610612762,1627777,Georges Niang
2025-26,1610612763,1627777,Georges Niang
2025-26,1610612763,1641723,Kobe Bufkin
2025-26,1610612764,1626156,D'Angelo Russell
2025-26,1610612764,203076,Anthony Davis
2025-26,1610612764,203957,Dante Exum
2025-26,1610612765,203967,Dario Saric
2025-26,1610612766,1626145,Tyus Jones
2025-26,1610612766,1631103,Malaki Branham
2025-26,1610612766,1641787,Tosan Evbuomwan
