season,source_type,ref,file,rows
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-003,player_game_treb_on,1845
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-004,team_game_treb,184
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-004,player_game_treb_on,1852
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-005,team_game_treb,192
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-005,player_game_treb_on,1935
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-006,team_game_treb,196
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-006,player_game_treb_on,1963
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-007,team_game_treb,198
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-007,player_game_treb_on,2002
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-008,team_game_treb,198
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-008,player_game_treb_on,1987
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-009,team_game_treb,188
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-009,player_game_treb_on,1900
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-010,team_game_treb,184
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-010,player_game_treb_on,1889
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-011,team_game_treb,184
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-011,player_game_treb_on,1880
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-012,team_game_treb,56
2004-05,historical_exact_batch,refs/remotes/origin/treb-game-facts-2004-batch-012,player_game_treb_on,569
2005-06,historical_exact_batch,refs/remotes/origin/treb-game-facts-2005-batch-000,team_game_treb,196
