season,player_id,team_id,player,canonical_classification,locked_segment_count,locked_source_supplied,expected_team_games,exact_team_games,expected_player_games,exact_player_games,exact_full_core_sufficient,locked_source_superseded_by_exact,selected_source_layer,covered_after_this_overlay
2000-01,1521,1610612762,Jacque Vaughn,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1531,1610612744,Marc Jackson,full_core,0,0,82,0,48,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1536,1610612751,Stephen Jackson,full_core,0,0,82,0,77,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1538,1610612739,Cedric Henderson,full_core,0,0,82,0,55,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1541,1610612761,Alvin Williams,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1544,1610612737,Chris Crawford,full_core,0,0,82,0,47,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1548,1610612738,Mark Blount,full_core,0,0,82,0,64,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1559,1610612738,Adrian Griffin,full_core,0,0,82,0,44,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1565,1610612761,Michael Stewart,full_core,0,0,82,0,26,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1607,1610612753,Troy Hudson,full_core,0,0,82,0,75,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1630,1610612765,Mikki Moore,full_core,0,0,82,0,81,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,165,1610612745,Hakeem Olajuwon,full_core,0,0,82,0,58,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,166,1610612747,Ron Harper,full_core,0,0,82,0,47,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,168,1610612744,Chris Mills,full_core,0,0,82,0,15,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1709,1610612746,Michael Olowokandi,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1710,1610612763,Mike Bibby,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1711,1610612743,Raef LaFrentz,full_core,0,0,82,0,78,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1712,1610612744,Antawn Jamison,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1713,1610612761,Vince Carter,full_core,0,0,82,0,75,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1714,1610612739,Robert Traylor,full_core,0,0,82,0,70,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1715,1610612758,Jason Williams,full_core,0,0,82,0,77,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1716,1610612744,Larry Hughes,full_core,0,0,82,0,50,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1717,1610612742,Dirk Nowitzki,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1718,1610612738,Paul Pierce,full_core,0,0,82,0,82,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1719,1610612757,Bonzi Wells,full_core,0,0,82,0,75,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1720,1610612753,Michael Doleac,full_core,0,0,82,0,77,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1722,1610612763,Michael Dickerson,full_core,0,0,82,0,70,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1723,1610612739,Matt Harpring,full_core,0,0,82,0,56,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1724,1610612741,Bryce Drew,full_core,0,0,82,0,48,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1725,1610612750,Rasho Nesterovic,full_core,0,0,82,0,73,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1727,1610612753,Pat Garrity,full_core,0,0,82,0,76,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1729,1610612748,Ricky Davis,full_core,0,0,82,0,7,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1730,1610612746,Brian Skinner,full_core,0,0,82,0,39,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1731,1610612747,Tyronn Lue,full_core,0,0,82,0,38,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1733,1610612754,Al Harrington,full_core,0,0,82,0,78,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1734,1610612750,Sam Jacobson,full_core,0,0,82,0,14,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1736,1610612741,Corey Benjamin,full_core,0,0,82,0,65,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1739,1610612760,Ruben Patterson,full_core,0,0,82,0,76,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1740,1610612760,Rashard Lewis,full_core,0,0,82,0,78,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1741,1610612760,Jelani McCoy,full_core,0,0,82,0,70,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1742,1610612760,Shammond Williams,full_core,0,0,82,0,69,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1743,1610612754,Bruno Sundov,full_core,0,0,82,0,11,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1747,1610612749,Rafer Alston,full_core,0,0,82,0,37,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1749,1610612745,Cuttino Mobley,full_core,0,0,82,0,79,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,1751,1610612764,Jahidi White,full_core,0,0,82,0,68,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
2000-01,176,1610612757,Antonio Harvey,full_core,0,0,82,0,12,0,False,False,not_yet_supplied_after_exact_union_and_locked_layer,False
